x,y,Name,Team,Age
3.2183399906888215,-1.5510802973654079,JONAS HOGLUND,Toronto Maple Leafs,28.0
-5.813469914487452,-3.392697270207541,JONAS HOGLUND,Toronto Maple Leafs,29.0
4.296964658426992,1.766238606610716,JONAS HOGLUND,Toronto Maple Leafs,30.0
-4.5863959280058175,-7.986134824971714,FREDRIK SJOSTROM,Phoenix Coyotes,20.0
1.770599578283041,7.202057527652279,FREDRIK SJOSTROM,Phoenix Coyotes,22.0
5.801506800692852,4.062879297161483,FREDRIK SJOSTROM,Phoenix Coyotes,23.0
-5.715072439694187,-4.658905378008521,FREDRIK SJOSTROM,Phoenix Coyotes,24.0
-10.786537360580155,-3.141091604849207,FREDRIK SJOSTROM,New York Rangers,24.0
7.268286831710076,3.9707069240897725,FREDRIK SJOSTROM,New York Rangers,25.0
0.38098273890225587,-6.851989187631774,FREDRIK SJOSTROM,Calgary Flames,26.0
-8.335160027135172,-5.1060417057509335,FREDRIK SJOSTROM,Toronto Maple Leafs,26.0
2.033089389629855,0.2343571319858093,FREDRIK SJOSTROM,Toronto Maple Leafs,27.0
-1.9500796097871569,-6.609316915717841,JONAS RONNQVIST,Mighty Ducks of Anaheim,27.0
1.4589243700148615,-7.568987017077883,ED WARD,Atlanta Thrashers,30.0
-0.9979275216876761,8.576998233694688,ED WARD,Mighty Ducks of Anaheim,30.0
6.01671012654058,7.765047807713223,ED WARD,New Jersey Devils,31.0
11.18864051929972,-0.6399948164998526,CARL SODERBERG,Boston Bruins,27.0
0.1344567608702964,4.571541858730805,CARL SODERBERG,Boston Bruins,28.0
-1.2272183879556895,-2.052314266956537,CARL SODERBERG,Boston Bruins,29.0
-1.3562184811800864,5.8889427563459265,CARL SODERBERG,Colorado Avalanche,30.0
2.679025376861005,-4.1694832072473,MIROSLAV SATAN,Buffalo Sabres,25.0
3.351306726525976,-5.021798862738368,MIROSLAV SATAN,Buffalo Sabres,26.0
-9.2110229958715,0.5566151723928666,MIROSLAV SATAN,Buffalo Sabres,27.0
-10.258948049855496,-0.5428451212212431,MIROSLAV SATAN,Buffalo Sabres,28.0
-6.450427373575391,-3.084784598155233,MIROSLAV SATAN,Buffalo Sabres,29.0
1.0850905452510207,-1.7830680374017105,MIROSLAV SATAN,New York Islanders,31.0
-7.128376034039201,-1.800695964553557,MIROSLAV SATAN,New York Islanders,32.0
3.272881250749996,0.3747781836939955,MIROSLAV SATAN,New York Islanders,33.0
-3.57204192057217,-2.728933135092778,MIROSLAV SATAN,Pittsburgh Penguins,34.0
-1.582426549262723,-5.963024286495876,MIROSLAV SATAN,Boston Bruins,35.0
-3.4184903307579018,-6.171967701660143,LOUI ERIKSSON,Dallas Stars,21.0
-3.564866141897519,-1.722638558705558,LOUI ERIKSSON,Dallas Stars,22.0
2.850388161646489,-4.701479492806462,LOUI ERIKSSON,Dallas Stars,23.0
-9.128444609685243,0.5659829626901409,LOUI ERIKSSON,Dallas Stars,24.0
-9.268148067821693,-0.5539838852821204,LOUI ERIKSSON,Dallas Stars,25.0
-9.835120134815627,0.43922766503262534,LOUI ERIKSSON,Dallas Stars,26.0
-1.6830539887407434,3.420600950486048,LOUI ERIKSSON,Dallas Stars,27.0
